Date,Open,High,Low,Close,Adj Close,Volume
1997-07-01,1857.000000,1864.000000,1826.000000,1851.000000,1851.000000,2342600
1997-07-02,1851.000000,1877.000000,1849.000000,1873.000000,1873.000000,2946200
1997-07-03,1873.000000,1916.000000,1871.000000,1912.000000,1912.000000,3660300
1997-07-04,1912.000000,1936.000000,1897.000000,1918.000000,1918.000000,3411100
1997-07-07,1918.000000,1963.000000,1918.000000,1953.000000,1953.000000,3045500
1997-07-08,1953.000000,1959.000000,1894.000000,1911.000000,1911.000000,2426500
1997-07-09,1911.000000,1951.000000,1911.000000,1951.000000,1951.000000,3090400
1997-07-10,1951.000000,2010.000000,1951.000000,1999.000000,1999.000000,4169400
1997-07-11,1999.000000,2027.000000,1971.000000,2027.000000,2027.000000,3914500
1997-07-14,2027.000000,2056.000000,2003.000000,2043.000000,2043.000000,4112600
1997-07-15,2043.000000,2060.000000,2017.000000,2036.000000,2036.000000,3202900
1997-07-16,2036.000000,2040.000000,1972.000000,2009.000000,2009.000000,3606900
1997-07-17,2009.000000,2019.000000,1989.000000,2006.000000,2006.000000,3337100
1997-07-18,2006.000000,2029.000000,1998.000000,2010.000000,2010.000000,3337100
1997-07-21,2010.000000,2018.000000,1939.000000,1955.000000,1955.000000,2851000
1997-07-22,1955.000000,1966.000000,1934.000000,1953.000000,1953.000000,2825700
1997-07-23,1953.000000,1953.000000,1905.000000,1919.000000,1919.000000,2252400
1997-07-24,1919.000000,1962.000000,1913.000000,1925.000000,1925.000000,3124300
1997-07-25,1925.000000,1931.000000,1874.000000,1889.000000,1889.000000,2274000
1997-07-28,1889.000000,1895.000000,1833.000000,1836.000000,1836.000000,1758400
1997-07-29,1836.000000,1870.000000,1836.000000,1850.000000,1850.000000,2330100
1997-07-30,1850.000000,1903.000000,1850.000000,1903.000000,1903.000000,2894300
1997-07-31,1903.000000,1953.000000,1903.000000,1953.000000,1953.000000,2980500
1997-08-01,1953.000000,1987.000000,1943.000000,1973.000000,1973.000000,3208700
1997-08-04,1973.000000,2039.000000,1973.000000,2036.000000,2036.000000,2902200
1997-08-05,2036.000000,2065.000000,1995.000000,2003.000000,2003.000000,2827500
1997-08-06,2003.000000,2044.000000,1991.000000,2034.000000,2034.000000,2776700
1997-08-07,2034.000000,2065.000000,2031.000000,2050.000000,2050.000000,3426700
1997-08-08,2050.000000,2070.000000,2026.000000,2040.000000,2040.000000,2531600
1997-08-11,2040.000000,2048.000000,2019.000000,2032.000000,2032.000000,1975500
1997-08-12,2032.000000,2047.000000,2021.000000,2036.000000,2036.000000,2163200
1997-08-13,2036.000000,2040.000000,1997.000000,2005.000000,2005.000000,2514500
1997-08-14,2005.000000,2047.000000,2005.000000,2016.000000,2016.000000,3130600
1997-08-15,2016.000000,2031.000000,1998.000000,2004.000000,2004.000000,3288000
1997-08-18,2004.000000,2022.000000,1943.000000,1952.000000,1952.000000,2149700
1997-08-19,1952.000000,1978.000000,1927.000000,1940.000000,1940.000000,2021100
1997-08-20,1940.000000,1961.000000,1913.000000,1930.000000,1930.000000,2177400
1997-08-21,1930.000000,1976.000000,1930.000000,1975.000000,1975.000000,2874100
1997-08-22,1975.000000,1994.000000,1948.000000,1966.000000,1966.000000,2501800
1997-08-25,1966.000000,1973.000000,1939.000000,1951.000000,1951.000000,2122400
1997-08-26,1951.000000,1962.000000,1910.000000,1925.000000,1925.000000,2502200
1997-08-27,1925.000000,1947.000000,1914.000000,1925.000000,1925.000000,2015100
1997-08-28,1925.000000,1977.000000,1925.000000,1973.000000,1973.000000,3404300
1997-08-29,1973.000000,2012.000000,1966.000000,1980.000000,1980.000000,2839300
1997-09-01,1980.000000,1997.000000,1965.000000,1978.000000,1978.000000,1879100
1997-09-02,1978.000000,2023.000000,1977.000000,2020.000000,2020.000000,2702100
1997-09-03,2020.000000,2054.000000,2014.000000,2054.000000,2054.000000,2522800
1997-09-04,2054.000000,2107.000000,2054.000000,2104.000000,2104.000000,3965300
1997-09-05,2104.000000,2132.000000,2102.000000,2124.000000,2124.000000,3430300
1997-09-08,2124.000000,2198.000000,2124.000000,2198.000000,2198.000000,4239700
1997-09-09,2198.000000,2235.000000,2177.000000,2235.000000,2235.000000,4577400
1997-09-10,2235.000000,2259.000000,2211.000000,2259.000000,2259.000000,5361900
1997-09-11,2259.000000,2317.000000,2259.000000,2293.000000,2293.000000,5800900
